quality,psnr,ssim,msssim,bpp
1.0,21.16726981838776,0.4982512051785462,0.697511073933193,0.1693115234375
2.0,21.169663471414477,0.4984179233527833,0.697617657677322,0.16943359375
3.0,21.37461229238378,0.5155599879724176,0.7097194332354508,0.1781005859375
4.0,22.44146840180443,0.5523641158466249,0.735719318489623,0.19734700520833334
5.0,23.738962400449807,0.5961819306353432,0.7917665913772214,0.2164306640625
6.0,24.540031070007853,0.626947910275392,0.8287798429101008,0.23404947916666666
7.0,25.173128811521273,0.6512628626413833,0.8521994982519076,0.2532552083333333
8.0,25.58113727230703,0.6726987435296188,0.8649549863480589,0.2735188802083333
9.0,25.915873867924184,0.6857788360576166,0.8724229903264731,0.2943318684895833
10.0,26.24288118575446,0.7013475726696862,0.8809364952718616,0.3156534830729167
11.0,26.567164340614752,0.7123137801410931,0.8923235404535781,0.3374226888020833
12.0,26.884839813305838,0.7311734093609613,0.8991599118309344,0.3581746419270833
13.0,27.221468285265992,0.7404776237304697,0.9068309141486885,0.37957763671875
14.0,27.455726272504783,0.75120501448404,0.9137611736188062,0.3976033528645833
15.0,27.72544151030855,0.7672119445844264,0.9209151362970599,0.4167887369791667
16.0,27.94055960603846,0.7778678666428399,0.9269612763469951,0.435302734375
17.0,28.142010255133705,0.78646053728818,0.9307851741495862,0.4534912109375
18.0,28.34885736545821,0.793622306203083,0.9355465493723089,0.47259521484375
19.0,28.478707240188864,0.799592284305766,0.93801378161564,0.48956298828125
20.0,28.677617337773388,0.8060537481523958,0.942491137677299,0.5065511067708334
21.0,28.840193435930452,0.8119822333346111,0.9451933527904911,0.5248616536458334
22.0,28.98405298744125,0.8177040888778727,0.9476780871156096,0.5425008138020834
23.0,29.11813983078214,0.8223320949375034,0.9493708426308594,0.55999755859375
24.0,29.249768499437884,0.8260807458631257,0.9515457308806368,0.5772705078125
25.0,29.370545502004845,0.8300850618270318,0.9532447302866897,0.5921427408854166
26.0,29.48745389636357,0.8339795536242928,0.9549820380462437,0.60870361328125
27.0,29.630881867542712,0.8383538398489833,0.9569937590273253,0.624755859375
28.0,29.74282857718345,0.842167276686404,0.9583169786253171,0.64227294921875
29.0,29.850675198085526,0.8451302980074825,0.9593991841083298,0.65618896484375
30.0,29.924094905908905,0.846769262660616,0.9598547240508212,0.6707560221354166
31.0,30.036626920557342,0.8496956734088198,0.9611291334949791,0.6847330729166666
32.0,30.13771590867424,0.8529987399811386,0.962117397572805,0.6997477213541666
33.0,30.271620019514337,0.8568995274618746,0.9644140291508932,0.7168375651041666
34.0,30.35512249794632,0.8589194674366148,0.9649858176608155,0.7269490559895834
35.0,30.4575134495157,0.8615811782078197,0.965929501357289,0.744873046875
36.0,30.560444091412155,0.8640424932402274,0.9665472520956159,0.7607625325520834
37.0,30.62796909374903,0.8656144486906768,0.9671871086518243,0.7691446940104166
38.0,30.739543931303345,0.8691853094765526,0.9684553018150339,0.78704833984375
39.0,30.81092416680889,0.8707722408829669,0.9689685501122355,0.7988484700520834
40.0,30.873810694626552,0.8720423082378521,0.9694035116453765,0.80645751953125
41.0,30.991963796028724,0.8749608315427526,0.9704637419334531,0.8263753255208334
42.0,31.0433699225681,0.8762031913167371,0.9708592208870739,0.83587646484375
43.0,31.11585342700949,0.8777642989378115,0.9712223384552088,0.84661865234375
44.0,31.230283739486584,0.8806789912956257,0.9723907188439019,0.8647664388020834
45.0,31.278562011181794,0.8816606469360527,0.9726706718736632,0.8738606770833334
46.0,31.366627621613855,0.8828924006308586,0.9734227512017185,0.8900553385416666
47.0,31.425804868089415,0.8840238831166634,0.9736967922047217,0.8979899088541666
48.0,31.47453614366555,0.8848755444193509,0.9739480916729045,0.9090983072916666
49.0,31.588444674833088,0.8873619953566919,0.9750173474329321,0.927734375
50.0,31.63086926577346,0.887981568142285,0.9750900334037782,0.9312337239583334
51.0,31.672750750440073,0.8886354945146139,0.975180524639808,0.93524169921875
52.0,31.7813265089709,0.8907632850679205,0.9760711076659696,0.9562581380208334
53.0,31.837928044748693,0.8917740688973836,0.9763608937074698,0.9695027669270834
54.0,31.907251277868767,0.8931571919998927,0.9766558684116462,0.9784749348958334
55.0,31.972988057977464,0.8944746075420705,0.9770592454442175,0.9918212890625
56.0,32.055250471788106,0.8962574092322223,0.9774326648124022,1.0087483723958333
